team,striker
New Zealand,TWM Latham
New Zealand,WA Young
Nigeria,A Shreshta
Nigeria,AA Onikoyi
Nigeria,AJ Ayannaike
Nigeria,C Udekwe
Nigeria,CM Akachukwu
Nigeria,CN Onwuzulike
Nigeria,D Ajekun
Nigeria,D Gim
Nigeria,I Danladi
Nigeria,IO Okpe
Nigeria,JO Adedeji
Nigeria,Mohameed Taiwo
Nigeria,O Olaleye
Nigeria,P Aho
Nigeria,P Useni
Nigeria,R Abdulkareem
Nigeria,SA Okpe
Nigeria,Selim Salau
Nigeria,Sulaimon Runsewe
Nigeria,VD Adewoye
Norway,Ali Saleem
Norway,Bilal Safdar
Norway,D Abeyrathna
Norway,E Ul Haq
Norway,Javed Maroofkhail
Norway,Khizer Ahmed
Norway,Qamar Mushtaque
Norway,Raza Iqbal
Norway,S Waqas Ahmed
Norway,Sher Sahak
Norway,Usman Arif
Norway,Vinay Ravi
Norway,Wahidullah Sahak
Norway,Walid Ghauri
Oman,Aamir Kaleem
Oman,Aqib Ilyas
Oman,Ayan Khan
Oman,Bilal Khan
Oman,Fayyaz Butt
Oman,Hammad Mirza
Oman,Jatinder Singh
Oman,KH Prajapati
Oman,Kaleemullah
Oman,Khalid Kail
Oman,Khawar Ali
Oman,Khurram Nawaz
Oman,Mehran Khan
Oman,Mohammad Nadeem
Oman,Naseem Khushi
Oman,PS Athavale
Oman,Rafiullah
Oman,Sandeep Goud
Oman,Shakeel Ahmed
Oman,Shoaib Khan
Oman,V Shukla
Oman,Wasim Ali
Oman,Zeeshan Maqsood
Pakistan,Abdul Razzaq
Pakistan,Agha Salman
Pakistan,Ahmed Shehzad
Pakistan,Asif Ali
Pakistan,Babar Azam
Pakistan,Faheem Ashraf
Pakistan,Fakhar Zaman
Pakistan,Fawad Alam
Pakistan,Haider Ali
Pakistan,Haris Rauf
Pakistan,Haris Sohail
Pakistan,Hasan Ali
Pakistan,Hussain Talat
Pakistan,Iftikhar Ahmed
Pakistan,Imad Wasim
Pakistan,Imran Nazir
Pakistan,Irfan Khan
Pakistan,Kamran Akmal
Pakistan,Khushdil Shah
Pakistan,Misbah-ul-Haq
Pakistan,Mohammad Amir
Pakistan,Mohammad Hafeez
Pakistan,Mohammad Haris
Pakistan,Mohammad Nawaz
Pakistan,Mohammad Nawaz (3)
Pakistan,Mohammad Rizwan
Pakistan,Mohammad Wasim
Pakistan,Nasir Jamshed
Pakistan,Saeed Ajmal
Pakistan,Sahibzada Farhan
Pakistan,Saim Ayub
Pakistan,Salman Butt
Pakistan,Sarfraz Ahmed
Pakistan,Shadab Khan
Pakistan,Shaheen Shah Afridi
Pakistan,Shahid Afridi
